Ticker,Name,CIK,SIK,Formally
AHG,APRIA HEALTHCARE GROUP INC,0000882289,8082,ABBEY HEALTHCARE GROUP INC/DE (filings through 1995-02-10) 
AIF,Unlocated,Unlocated,Unlocated,Unlocated
AMIC,"AMIC Holdings, Inc.",0000097196,6321,AMERICAN INDEPENDENCE CORP (filings through 2016-09-02) 
AMIC,"AMIC Holdings, Inc.",0000097196,6321,SOFTNET SYSTEMS INC (filings through 2002-11-19) 
BBHL,B B Holdings LTD,0000882505,7340,BHI CORPORATION (filings through 1999-02-11) 
BBHL,B B Holdings LTD,0000882505,7340,CARLISLE HOLDINGS LTD (filings through 2006-03-20) 
BH,Biglari Holdings Inc.,0001726173,5812,NBHSA Inc. (filings through 2018-04-02) 
BYI,"BALLY TECHNOLOGIES, INC.",0000002491,7372,ALLIANCE GAMING CORP (filings through 2006-03-08) 
C,CITIGROUP INC,0000831001,6021,TRAVELERS GROUP INC (filings through 1998-09-10) 
C,CITIGROUP INC,0000831001,6021,TRAVELERS INC (filings through 1995-01-30) 
CALC,CALIFORNIA COASTAL COMMUNITIES INC,0000840216,1531,KOLL REAL ESTATE GROUP INC (filings through 1998-04-30) 
CCBC,Unlocated,Unlocated,Unlocated,Unlocated
CHMT,LANXESS Solutions US Inc.,0001091862,2820,Chemtura CORP (filings through 2017-04-07) 
CHMT,LANXESS Solutions US Inc.,0001091862,2820,CK WITCO CORP (filings through 2000-03-10) 
CHMT,LANXESS Solutions US Inc.,0001091862,2820,CROMPTON CORP (filings through 2005-06-29) 
CMD,CANTEL MEDICAL CORP,0000019446,3841,CANTEL INDUSTRIES INC (filings through 2000-03-06) 
COMT,Unlocated,Unlocated,Unlocated,Unlocated
CVNG,Unlocated,Unlocated,Unlocated,Unlocated
DRC,Dresser-Rand Group Inc.,0001316656,3510,No Formal Names
ENB,ENBRIDGE INC,0000895728,4610,IPL ENERGY INC (filings through 1999-02-16) 
ERI,"Eldorado Resorts, Inc.",0001590895,7011,Eclair Holdings Co (filings through 2014-09-19) 
FBA,Unlocated,Unlocated,Unlocated,Unlocated
GEC,"Great Elm Capital Group, Inc.",0001082506,7372,OPENWAVE SYSTEM INC (filings through 2000-11-20) 
GEC,"Great Elm Capital Group, Inc.",0001082506,7372,OPENWAVE SYSTEMS INC (filings through 2012-05-02) 
GEC,"Great Elm Capital Group, Inc.",0001082506,7372,PHONE COM INC (filings through 2000-11-03) 
GEC,"Great Elm Capital Group, Inc.",0001082506,7372,UNWIRED PLANET INC (filings through 1999-04-14) 
GEC,"Great Elm Capital Group, Inc.",0001082506,7372,"UNWIRED PLANET, INC. (filings through 2016-06-16) "
GLOV,"AHPC Holdings, Inc.",0000837038,5190,MBF USA INC (filings through 1998-05-11) 
GLOV,"AHPC Holdings, Inc.",0000837038,5190,WRP CORP (filings through 2004-05-14) 
GS,GOLDMAN SACHS GROUP INC,0000886982,6211,GOLDMAN SACHS GROUP INC/ (filings through 2008-03-04) 
HNT,HEALTH NET INC,0000916085,6324,FOUNDATION HEALTH SYSTEMS INC (filings through 2000-11-08) 
HNT,HEALTH NET INC,0000916085,6324,HEALTH SYSTEMS INTERNATIONAL INC (filings through 1997-01-30) 
IAC,IAC/INTERACTIVECORP,0000891103,5990,HSN INC (filings through 1998-02-04) 
IAC,IAC/INTERACTIVECORP,0000891103,5990,INTERACTIVECORP (filings through 2004-07-12) 
IAC,IAC/INTERACTIVECORP,0000891103,5990,SILVER KING COMMUNICATIONS INC (filings through 1996-12-24) 
IAC,IAC/INTERACTIVECORP,0000891103,5990,USA INTERACTIVE (filings through 2003-06-20) 
IAC,IAC/INTERACTIVECORP,0000891103,5990,USA NETWORKS INC (filings through 2002-05-06) 
IBM,INTERNATIONAL BUSINESS MACHINES CORP,0000051143,3570,No Formal Names
JAX,"J. Alexander's Holdings, Inc.",0001617227,5812,No Formal Names
LMLP,LML PAYMENT SYSTEMS INC,0000781891,7389,No Formal Names
LOG,Unlocated,Unlocated,Unlocated,Unlocated
MFCB,Unlocated,Unlocated,Unlocated,Unlocated
MLSS,MILESTONE SCIENTIFIC INC.,0000855683,3842,MILESTONE SCIENTIFIC INC/NJ (filings through 2009-12-17) 
MLSS,MILESTONE SCIENTIFIC INC.,0000855683,3842,U S OPPORTUNITY SEARCH INC (filings through 1997-03-14) 
MNPQ,Unlocated,Unlocated,Unlocated,Unlocated
MNST,Monster Beverage Corp,0000865752,2086,HANSEN NATURAL CORP (filings through 2011-12-21) 
MS,MORGAN STANLEY,0000895421,6211,DEAN WITTER DISCOVER & CO (filings through 1997-05-08) 
MS,MORGAN STANLEY,0000895421,6211,MORGAN STANLEY DEAN WITTER & CO (filings through 2002-07-12) 
MS,MORGAN STANLEY,0000895421,6211,MORGAN STANLEY DEAN WITTER DISCOVER & CO (filings through 1998-03-18) 
MSGI,"MSGI TECHNOLOGY SOLUTIONS, INC",0000014280,3670,ALL-COMM MEDIA CORP (filings through 1997-01-22) 
MSGI,"MSGI TECHNOLOGY SOLUTIONS, INC",0000014280,3670,MARKETING SERVICES GROUP INC (filings through 2002-02-14) 
MSGI,"MSGI TECHNOLOGY SOLUTIONS, INC",0000014280,3670,MEDIA SERVICE GROUP INC (filings through 2004-11-30) 
MSGI,"MSGI TECHNOLOGY SOLUTIONS, INC",0000014280,3670,MEDIA SERVICES GROUP INC (filings through 2005-02-14) 
MSGI,"MSGI TECHNOLOGY SOLUTIONS, INC",0000014280,3670,MKTG SERVICES INC (filings through 2004-04-06) 
MSGI,"MSGI TECHNOLOGY SOLUTIONS, INC",0000014280,3670,"MSGI SECURITY SOLUTIONS, INC (filings through 2011-02-11) "
MSGI,"MSGI TECHNOLOGY SOLUTIONS, INC",0000014280,3670,SPORTS TECH INC (filings through 1995-06-02) 
NEWT,Newtek Business Services Corp.,0001587987,NoSIK,No Formal Names
